m,id,lat,lon,dem
0,0,41.37381530,2.14590850,0
0,24,41.32307150,2.09393470,48
0,74,41.33047880,2.09871010,-48
0,20,41.36614460,2.07086160,39
0,70,41.37373140,2.06023700,-39
0,27,41.40664070,2.15574830,23
0,22,41.40108540,2.15528100,33
0,50,41.42205390,2.16275540,43
0,77,41.41934160,2.16077590,-23
0,100,41.41581390,2.16523810,-43
0,1,41.43035640,2.19642600,54
0,51,41.43472570,2.17180200,-54
0,4,41.43830100,2.16705130,34
0,54,41.42904810,2.18229840,-34
0,13,41.40773470,2.17843340,24
0,63,41.40376200,2.16701780,-24
0,72,41.38294610,2.17033190,-33
0,39,41.37531920,2.16403370,35
0,89,41.39668150,2.17428480,-35
0,0,41.37381530,2.14590850,0
1,0,41.37381530,2.14590850,0
1,32,41.39970480,2.15300390,19
1,42,41.40089740,2.16037020,15
1,92,41.40002030,2.16107870,-15
1,17,41.40879240,2.16481460,11
1,19,41.41095110,2.17330790,55
1,69,41.42281860,2.16412650,-55
1,18,41.45119490,2.20634080,55
1,68,41.45308690,2.19097260,-55
1,67,41.40552510,2.18546920,-11
1,45,41.41343780,2.18404170,36
1,9,41.41269480,2.17883230,43
1,95,41.41079770,2.20745830,-36
1,59,41.40427200,2.17026680,-43
1,82,41.39604150,2.16439690,-19
1,3,41.39569180,2.16167430,19
1,53,41.40375100,2.13983070,-19
1,46,41.38968950,2.16709260,15
1,96,41.38519950,2.18182640,-15
1,0,41.37381530,2.14590850,0
2,0,41.37381530,2.14590850,0
2,29,41.44087030,2.21837780,10
2,79,41.44698710,2.22776750,-10
2,12,41.40782960,2.17548370,14
2,62,41.40424800,2.17146110,-14
2,26,41.40049280,2.16022900,39
2,76,41.38949660,2.16634830,-39
2,0,41.37381530,2.14590850,0
3,0,41.37381530,2.14590850,0
3,40,41.43039500,2.18446890,53
3,90,41.43134210,2.19329730,-53
3,37,41.43916310,2.21659890,33
3,43,41.43404480,2.22495350,44
3,87,41.43126640,2.21739290,-33
3,93,41.43898110,2.21716220,-44
3,36,41.45976270,2.19970430,52
3,86,41.46865230,2.18633390,-52
3,31,41.42460480,2.15700370,48
3,33,41.41204960,2.17015780,47
3,83,41.40355670,2.17818570,-47
3,81,41.39515930,2.19826200,-48
3,6,41.38024820,2.18825280,51
3,56,41.38956460,2.15517890,-51
3,0,41.37381530,2.14590850,0
4,0,41.37381530,2.14590850,0
4,16,41.42173450,2.18117630,17
4,66,41.42852230,2.18890730,-17
4,8,41.43032230,2.20825670,35
4,10,41.43770910,2.20716840,35
4,58,41.44777770,2.21868550,-35
4,60,41.44847800,2.22329170,-35
4,2,41.43642380,2.22020440,58
4,52,41.44956580,2.21339420,-58
4,7,41.45906400,2.20147270,21
4,38,41.45269770,2.19346220,27
4,88,41.45455310,2.21330970,-27
4,57,41.44854730,2.17560920,-21
4,0,41.37381530,2.14590850,0
5,0,41.37381530,2.14590850,0
5,30,41.42752390,2.22315410,22
5,5,41.44419630,2.21268340,45
5,80,41.44914430,2.21351730,-22
5,55,41.43503780,2.21231370,-45
5,21,41.43038230,2.18656710,41
5,47,41.42639670,2.17975890,28
5,71,41.42905970,2.19461340,-41
5,97,41.42704820,2.20764170,-28
5,0,41.37381530,2.14590850,0
6,0,41.37381530,2.14590850,0
6,23,41.43838770,2.21857130,27
6,73,41.43688070,2.21942810,-27
6,14,41.43823890,2.22461350,54
6,64,41.43819090,2.23299850,-54
6,11,41.45259690,2.19209740,40
6,61,41.46667690,2.18490170,-40
6,0,41.37381530,2.14590850,0
7,0,41.37381530,2.14590850,0
7,35,41.32667150,2.09026910,14
7,85,41.32389380,2.08313260,-14
7,25,41.41017760,2.17808400,54
7,41,41.43993960,2.21969380,46
7,91,41.43844760,2.21698800,-46
7,75,41.40828500,2.15646510,-54
7,0,41.37381530,2.14590850,0
8,0,41.37381530,2.14590850,0
8,34,41.40034020,2.15276060,43
8,15,41.38409520,2.17424950,32
8,65,41.39067270,2.15564270,-32
8,84,41.38157320,2.16313690,-43
8,0,41.37381530,2.14590850,0
9,0,41.37381530,2.14590850,0
9,28,41.36898530,2.05644160,44
9,78,41.36525300,2.05841180,-44
9,44,41.38913140,2.13731640,31
9,94,41.40275780,2.15628340,-31
9,48,41.39963130,2.16659800,12
9,98,41.39287580,2.16318370,-12
9,0,41.37381530,2.14590850,0
10,0,41.37381530,2.14590850,0
10,49,41.36327480,2.07212950,58
10,99,41.32975210,2.09486990,-58
10,0,41.37381530,2.14590850,0
