m,id,lat,lon,dem
0,0,52.51284280,13.40832990,0
0,53,52.53048930,13.56505720,159
0,12,52.51822730,13.61265900,18
0,153,52.51052000,13.60232170,-159
0,112,52.48094110,13.57517510,-18
0,1,52.43539090,13.38471820,73
0,101,52.47094920,13.57437440,-73
0,0,52.51284280,13.40832990,0
1,0,52.51284280,13.40832990,0
1,20,52.46340310,13.41445720,171
1,120,52.44779250,13.30618630,-171
1,65,52.52233960,13.20295300,88
1,13,52.54814670,13.17311950,48
1,165,52.55050370,13.55806620,-88
1,113,52.48588350,13.57644710,-48
1,0,52.51284280,13.40832990,0
2,0,52.51284280,13.40832990,0
2,64,52.41137750,13.34613030,108
2,164,52.49747420,13.55701290,-108
2,17,52.41659310,13.31918960,33
2,117,52.48020970,13.59501770,-33
2,0,52.51284280,13.40832990,0
3,0,52.51284280,13.40832990,0
3,96,52.49401980,13.38980710,42
3,196,52.50022270,13.36353530,-42
3,66,52.61330670,13.23781760,33
3,25,52.60707920,13.22465400,110
3,166,52.51785070,13.63279990,-33
3,125,52.49764720,13.55131590,-110
3,0,52.51284280,13.40832990,0
4,0,52.51284280,13.40832990,0
4,89,52.57519500,13.37009230,76
4,27,52.44943190,13.24825110,26
4,26,52.43478410,13.19626210,53
4,189,52.48139480,13.51533840,-76
4,127,52.50072830,13.50111830,-26
4,126,52.49571610,13.57621230,-53
4,0,52.51284280,13.40832990,0
5,0,52.51284280,13.40832990,0
5,32,52.42403540,13.18917940,178
5,48,52.41046440,13.48892470,86
5,148,52.46707100,13.58833370,-86
5,132,52.52225640,13.62743520,-178
5,7,52.55018400,13.41344260,10
5,107,52.43624730,13.40403130,-10
5,0,52.51284280,13.40832990,0
6,0,52.51284280,13.40832990,0
6,41,52.61382810,13.46258110,71
6,36,52.61770570,13.42161800,158
6,82,52.51630790,13.45902170,15
6,141,52.46773360,13.49018640,-71
6,136,52.42820320,13.49628160,-158
6,182,52.41523170,13.52123670,-15
6,0,52.51284280,13.40832990,0
7,0,52.51284280,13.40832990,0
7,92,52.59607760,13.42852050,145
7,59,52.56464680,13.21872240,47
7,192,52.39936100,13.53518110,-145
7,159,52.44092080,13.69230900,-47
7,0,52.51284280,13.40832990,0
8,0,52.51284280,13.40832990,0
8,62,52.50921920,13.38813030,155
8,73,52.49412320,13.57107340,65
8,173,52.47768400,13.60004810,-65
8,162,52.49552100,13.60280800,-155
8,8,52.53623700,13.61719280,23
8,108,52.55071740,13.42521820,-23
8,0,52.51284280,13.40832990,0
9,0,52.51284280,13.40832990,0
9,2,52.51478390,13.17271810,17
9,102,52.48043410,13.32012030,-17
9,71,52.42836090,13.39490730,177
9,70,52.42183040,13.42648840,19
9,171,52.44075800,13.54203630,-177
9,170,52.44756360,13.63208200,-19
9,0,52.51284280,13.40832990,0
10,0,52.51284280,13.40832990,0
10,78,52.49813470,13.62244780,61
10,75,52.55861850,13.46767860,138
10,175,52.50697480,13.60710370,-138
10,88,52.47660600,13.36760560,100
10,178,52.42615760,13.48979860,-61
10,188,52.50420150,13.57097730,-100
10,0,52.51284280,13.40832990,0
11,0,52.51284280,13.40832990,0
11,29,52.57645670,13.31747190,57
11,28,52.48515500,13.29002180,72
11,128,52.50771750,13.26294480,-72
11,129,52.43202350,13.28228150,-57
11,90,52.44996570,13.34139510,92
