m,id,lat,lon,dem
0,0,40.70383800,-74.01263400,0
0,195,40.72179800,-73.98092700,1
0,320,40.71746800,-73.99111200,2
0,64,40.73260900,-73.99002800,1
0,595,40.74890500,-73.99604800,-1
0,119,40.74166500,-73.98941000,1
0,464,40.74916100,-73.99562800,-1
0,720,40.74924900,-73.99228700,-2
0,109,40.77838900,-73.95134700,1
0,1,40.77711900,-73.94631200,1
0,9,40.75761000,-73.96517200,1
0,509,40.75059500,-73.97473900,-1
0,409,40.75322700,-73.98102600,-1
0,519,40.75231200,-73.98719800,-1
0,173,40.76433900,-73.98038500,3
0,172,40.75859100,-73.99240100,1
0,401,40.80904000,-73.95258300,-1
0,573,40.80891000,-73.94458000,-3
0,572,40.82315400,-73.94286300,-1
0,0,40.70383800,-74.01263400,0
1,0,40.70383800,-74.01263400,0
1,131,40.76569700,-73.95471200,3
1,70,40.78913500,-73.97764600,1
1,531,40.84057600,-73.94019300,-3
1,470,40.79473100,-73.92054000,-1
1,237,40.64705700,-73.79002400,1
1,637,40.74118400,-73.78426400,-1
1,158,40.76897000,-73.86299100,2
1,558,40.81045900,-73.95990800,-2
1,3,40.75996400,-73.99454500,1
1,403,40.75578300,-73.97086300,-1
1,394,40.76155500,-73.96612500,1
1,215,40.75668700,-73.96733900,1
1,328,40.73704100,-73.98989900,1
1,230,40.73447000,-73.99017300,2
1,615,40.74872600,-73.98391700,-1
1,630,40.74841700,-73.98535900,-2
1,728,40.75199900,-73.98133100,-1
1,794,40.75121700,-73.98371900,-1
1,0,40.70383800,-74.01263400,0
2,0,40.70383800,-74.01263400,0
2,6,40.73403500,-73.99933600,2
2,406,40.75428800,-73.98444400,-2
2,30,40.76145900,-73.99992400,1
2,137,40.75135800,-73.99802400,1
2,203,40.75124400,-73.99427800,1
2,430,40.75105300,-73.99054000,-1
2,537,40.75071000,-73.97885100,-1
2,603,40.75056100,-73.97451800,-1
2,97,40.78059400,-73.96112100,1
2,359,40.74817300,-73.97370900,1
2,134,40.74846600,-73.97689800,1
2,392,40.76564000,-73.97607400,1
2,759,40.79717600,-73.96809400,-1
2,534,40.80181900,-73.95901500,-1
2,792,40.81890100,-73.93846100,-1
2,497,40.80490500,-73.93851500,-1
2,79,40.73517200,-73.98281900,1
2,14,40.68733200,-73.99575800,1
2,388,40.71369200,-73.99899300,1
2,479,40.72076400,-74.00985000,-1
2,414,40.73157100,-74.00656900,-1
2,788,40.77856100,-73.95620000,-1
2,0,40.70383800,-74.01263400,0
3,0,40.70383800,-74.01263400,0
3,75,40.72754700,-73.97939300,1
3,86,40.74847000,-73.97997300,1
3,269,40.75116700,-73.97699700,1
3,486,40.75033600,-73.99219500,-1
3,193,40.75949900,-73.98532100,1
3,130,40.76118900,-73.98468800,1
3,149,40.77158700,-73.98243000,2
3,475,40.78847500,-73.97682200,-1
3,593,40.80823500,-73.96402000,-1
3,669,40.80701800,-73.94335900,-1
3,549,40.76853200,-73.86187700,-2
3,307,40.77070200,-73.86554000,1
3,530,40.77096900,-73.86574600,-1
3,707,40.80456900,-73.96653000,-1
3,25,40.77441400,-73.96129600,1
3,356,40.76291300,-73.97427400,1
3,192,40.76344300,-73.96207400,1
3,100,40.76249300,-73.97776800,2
3,4,40.76745200,-73.97061900,1
3,756,40.73696500,-74.00087000,-1
3,500,40.73556100,-74.00502800,-2
3,425,40.74202300,-73.99059300,-1
3,404,40.74223300,-73.99140200,-1
3,592,40.73451600,-73.99458300,-1
3,0,40.70383800,-74.01263400,0
4,0,40.70383800,-74.01263400,0
4,330,40.69057100,-73.99432400,1
4,364,40.72487600,-73.98479500,1
4,312,40.73219700,-73.98799100,1
4,764,40.74264500,-73.98477200,-1
4,730,40.74260300,-73.98431400,-1
4,112,40.75982700,-73.97016100,1
4,712,40.75858300,-73.97052800,-1
4,5,40.76599900,-73.97582200,1
4,54,40.76114700,-73.97955300,1
4,454,40.73945200,-73.98997500,-1
4,512,40.73476400,-73.99285100,-1
4,405,40.75036600,-73.99210400,-1
4,201,40.75682400,-73.99013500,1
4,44,40.76403000,-73.99591100,1
4,601,40.82339900,-73.95539100,-1
4,99,40.78233000,-73.98040800,1
4,181,40.77938100,-73.97372400,1
4,57,40.78132600,-73.95433800,1
4,444,40.76223400,-73.97384600,-1
4,581,40.75568400,-73.96180700,-1
4,499,40.75555000,-73.98310900,-1
4,27,40.75744600,-73.98313100,1
4,427,40.75598100,-73.97428100,-1
4,71,40.73546200,-73.98978400,4
4,457,40.74384300,-73.99123400,-1
4,471,40.74953100,-73.98584000,-4
4,0,40.70383800,-74.01263400,0
5,0,40.70383800,-74.01263400,0
5,55,40.68520700,-73.97811900,3
5,383,40.72357200,-73.99079100,1
5,120,40.72506300,-73.98427600,1
5,455,40.73939500,-73.97671500,-3
5,397,40.74718500,-73.98974600,2
5,520,40.75028200,-73.98770100,-1
5,783,40.76107400,-73.98210100,-1
5,16,40.78742200,-73.97158800,1
5,797,40.83996600,-73.89563800,-2
5,416,40.73631300,-74.00782000,-1
5,45,40.72008100,-73.99926800,1
5,62,40.74923300,-73.98380300,1
5,445,40.75566900,-73.98653400,-1
5,164,40.74614700,-73.98400100,1
5,462,40.73935700,-73.97676800,-1
5,162,40.75093800,-73.99440800,1
5,179,40.75092700,-73.99407200,2
5,24,40.75927700,-73.99239300,2
5,564,40.76032600,-74.00236500,-1
5,424,40.78116600,-73.95170600,-2
5,579,40.72590600,-73.99659700,-2
5,562,40.68314000,-73.99777200,-1
5,0,40.70383800,-74.01263400,0
