m,id,lat,lon,dem
0,0,-30.07611950,-51.18055900,0
0,11,-30.06966970,-51.17555940,52
0,3,-30.07045450,-51.17478770,45
0,61,-30.06802360,-51.16868740,-52
0,31,-30.07495090,-51.15927280,55
0,81,-30.07452800,-51.15344810,-55
0,53,-30.04060450,-51.14225730,-45
0,13,-30.06363990,-51.18054280,48
0,63,-30.05366430,-51.15070030,-48
0,19,-30.08149810,-51.19652940,12
0,7,-30.08570920,-51.19197010,17
0,69,-30.06567490,-51.20614200,-12
0,57,-30.07217320,-51.22106810,-17
0,44,-30.06766740,-51.23156480,39
0,21,-30.07805690,-51.21184050,25
0,94,-30.08300190,-51.19205830,-39
0,1,-30.08234850,-51.19558100,11
0,51,-30.07215310,-51.19702080,-11
0,71,-30.07135560,-51.19710610,-25
0,0,-30.07611950,-51.18055900,0
1,0,-30.07611950,-51.18055900,0
1,25,-30.07840610,-51.18965030,56
1,39,-30.08638610,-51.20577370,12
1,89,-30.08233810,-51.19515710,-12
1,22,-30.07916190,-51.19143760,17
1,28,-30.06814780,-51.23086370,23
1,75,-30.07843750,-51.18979260,-56
1,72,-30.07863550,-51.19270090,-17
1,36,-30.06680720,-51.15445140,25
1,78,-30.07852280,-51.19133980,-23
1,14,-30.08915630,-51.18086440,60
1,10,-30.07314700,-51.16745200,12
1,64,-30.07386590,-51.15310260,-60
1,60,-30.07678150,-51.15873580,-12
1,24,-30.07306480,-51.16425710,17
1,86,-30.07618680,-51.17389530,-25
1,74,-30.07731280,-51.17290500,-17
1,8,-30.07174620,-51.17319160,40
1,2,-30.07165810,-51.17877370,36
1,58,-30.06453400,-51.18821390,-40
1,52,-30.07092130,-51.18485910,-36
1,0,-30.07611950,-51.18055900,0
2,0,-30.07611950,-51.18055900,0
2,26,-30.08001920,-51.20217920,25
2,76,-30.08808630,-51.21884950,-25
2,35,-30.08127710,-51.22397800,29
2,85,-30.07976840,-51.19100860,-29
2,45,-30.07799190,-51.18922040,14
2,95,-30.07364040,-51.22056250,-14
2,6,-30.06338310,-51.18811110,35
2,56,-30.06252230,-51.18828110,-35
2,30,-30.07067720,-51.18125620,60
2,80,-30.06947490,-51.18506010,-60
2,49,-30.04580060,-51.18075180,22
2,50,-30.07977690,-51.16806620,58
2,100,-30.11927220,-51.15297460,-58
2,33,-30.08186990,-51.17469940,54
2,83,-30.07396670,-51.16970760,-54
2,99,-30.07497940,-51.17576220,-22
2,0,-30.07611950,-51.18055900,0
3,0,-30.07611950,-51.18055900,0
3,40,-30.08278810,-51.22774190,33
3,17,-30.07055160,-51.21769040,13
3,67,-30.08149310,-51.21105440,-13
3,43,-30.05844690,-51.21723120,56
3,90,-30.06797250,-51.20529870,-33
3,93,-30.09900580,-51.22639700,-56
3,27,-30.05529310,-51.19797030,55
3,77,-30.05992740,-51.18186090,-55
3,15,-30.08257220,-51.17395710,51
3,29,-30.06869580,-51.15064720,22
3,65,-30.07002650,-51.15166340,-51
3,79,-30.07516010,-51.17102450,-22
3,48,-30.06890300,-51.17990880,32
3,98,-30.07408090,-51.18407740,-32
3,0,-30.07611950,-51.18055900,0
4,0,-30.07611950,-51.18055900,0
4,37,-30.09028450,-51.20131730,28
4,87,-30.08662000,-51.19234410,-28
4,9,-30.09337330,-51.17456640,44
4,59,-30.08146790,-51.16591790,-44
4,32,-30.07259390,-51.17155880,56
4,38,-30.06826860,-51.16143070,42
4,82,-30.06675740,-51.18154170,-56
4,42,-30.07128860,-51.17692910,58
4,92,-30.07051340,-51.17643760,-58
4,88,-30.07933390,-51.16695620,-42
4,0,-30.07611950,-51.18055900,0
5,0,-30.07611950,-51.18055900,0
5,12,-30.04357310,-51.19848940,44
5,62,-30.06718600,-51.17668890,-44
5,18,-30.07475940,-51.16605090,51
5,68,-30.07430270,-51.17081270,-51
5,5,-30.09814310,-51.13414080,47
5,55,-30.08654200,-51.18365590,-47
5,46,-30.07907030,-51.19613690,10
5,96,-30.07316840,-51.19758190,-10
5,0,-30.07611950,-51.18055900,0
6,0,-30.07611950,-51.18055900,0
6,16,-30.07207220,-51.18526780,31
6,66,-30.06742490,-51.16892390,-31
6,47,-30.05759170,-51.16511810,21
6,4,-30.05785350,-51.16316140,30
6,97,-30.07112120,-51.17522670,-21
6,54,-30.07344770,-51.17559990,-30
6,0,-30.07611950,-51.18055900,0
7,0,-30.07611950,-51.18055900,0
7,34,-30.07853180,-51.16353000,19
7,84,-30.09918080,-51.12927780,-19
7,23,-30.05612910,-51.19502000,33
7,73,-30.07228560,-51.18173910,-33
7,0,-30.07611950,-51.18055900,0
8,0,-30.07611950,-51.18055900,0
8,20,-30.09098630,-51.18173140,27
8,70,-30.07385200,-51.16632380,-27
8,41,-30.05415640,-51.18998920,51
8,91,-30.07202820,-51.17417920,-51
8,0,-30.07611950,-51.18055900,0
